id,period,timestamp,minute,second,possession,duration,location,under_pressure,type.id,type.name,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,player.id,player.name,position.id,position.name,shot.statsbomb_xg,shot.end_location,shot.key_pass_id,shot.one_on_one,shot.aerial_won,shot.technique.id,shot.technique.name,shot.outcome.id,shot.outcome.name,shot.type.id,shot.type.name,shot.body_part.id,shot.body_part.name,match_id,competition_id,season_id,shot.open_goal,shot.first_time,shot.redirect,shot.deflected,shot.saved_to_post,location.x,location.y,shot.end_location.x,shot.end_location.y,shot.end_location.z
1e668f29-9b49-4352-bd52-13f7c661fdb5,2,31:18.2,76,18,136,0.313832,"c(106, 31)",NA,16,Shot,968,Arsenal WFC,2,From Corner,968,Arsenal WFC,15620,Katie McCabe,2,Right Back,0.032937493,"c(112, 44)",NA,NA,NA,91,Half Volley,101,Wayward,87,Open Play,38,Left Foot,19797,37,4,NA,NA,NA,NA,NA,106,31,112,44,NA
d68df737-f7e3-435c-a6f9-084b0122e55e,2,33:54.8,78,54,140,0.793985,"c(101, 30)",NA,16,Shot,968,Arsenal WFC,1,Regular Play,968,Arsenal WFC,15623,Vivianne Miedema,23,Center Forward,0.033097856,"c(117, 40.5, 2.1)",e679c8a4-d1e8-4421-ab8c-15a691babdcb,NA,NA,93,Normal,100,Saved,87,Open Play,40,Right Foot,19797,37,4,NA,NA,NA,NA,NA,101,30,117,40.5,2.1
ffb388f6-0fbe-424d-bad0-966fbd9d4630,2,36:41.0,81,40,143,1.1865,"c(93, 27)",NA,16,Shot,968,Arsenal WFC,4,From Throw In,968,Arsenal WFC,15620,Katie McCabe,2,Right Back,0.014784449,"c(118, 43.6, 1.3)",NA,NA,NA,93,Normal,100,Saved,87,Open Play,38,Left Foot,19797,37,4,NA,NA,NA,NA,NA,93,27,118,43.6,1.3
7c77f27d-cb13-4d93-84fe-adb06394c740,2,42:03.3,87,3,148,0.2238,"c(108, 42)",NA,16,Shot,968,Arsenal WFC,4,From Throw In,968,Arsenal WFC,15619,Bethany Mead,21,Left Wing,0.11407498,"c(109, 43)",NA,NA,NA,93,Normal,96,Blocked,87,Open Play,38,Left Foot,19797,37,4,NA,NA,NA,NA,NA,108,42,109,43,NA
a92c8be2-4026-4296-8e4d-7e93a22b45aa,2,42:05.3,87,5,148,0.954,"c(104, 28)",NA,16,Shot,968,Arsenal WFC,4,From Throw In,968,Arsenal WFC,22297,Amelia Hazard,17,Right Wing,0.024305774,"c(118, 36.2, 1)",NA,NA,NA,93,Normal,100,Saved,87,Open Play,40,Right Foot,19797,37,4,NA,NA,NA,NA,NA,104,28,118,36.2,1
b2f19ff5-f3d6-44a1-a27b-b82467a8f0ae,2,47:14.4,92,14,157,0.0865,"c(106, 38)",NA,16,Shot,970,Yeovil Town LFC,3,From Free Kick,970,Yeovil Town LFC,15717,Hannah Short,3,Right Center Back,0.054045405,"c(108, 37)",146e630c-28a4-47d8-bce9-5f0e354e016c,NA,NA,93,Normal,96,Blocked,87,Open Play,40,Right Foot,19797,37,4,NA,NA,NA,NA,NA,106,38,108,37,NA
0b7615db-bd00-49cc-b5a8-85a888f8d7ce,1,04:26.3,4,26,7,0.725957,"c(101, 29)",NA,16,Shot,746,Manchester City WFC,6,From Counter,746,Manchester City WFC,4992,Janine Beckie,17,Right Wing,0.03682267,"c(117, 39.3, 0.4)",63ee9d92-469c-4553-9c20-de3ce0a284c2,NA,NA,93,Normal,100,Saved,87,Open Play,38,Left Foot,19798,37,4,NA,NA,NA,NA,NA,101,29,117,39.3,0.4
69ff93ee-f565-4448-a290-1b730d1a8d87,1,08:06.8,8,6,20,0.2173,"c(97, 51)",NA,16,Shot,967,Everton LFC,2,From Corner,967,Everton LFC,15556,Chantelle Boye-Hlorkah,23,Center Forward,0.016503531,"c(99, 50)",NA,NA,NA,93,Normal,96,Blocked,87,Open Play,40,Right Foot,19798,37,4,NA,NA,NA,NA,NA,97,51,99,50,NA
7cda6ac2-6b7f-4e8a-bdb9-86a58764aa01,1,10:46.5,10,46,27,1.454633,"c(94, 38)",NA,16,Shot,967,Everton LFC,1,Regular Play,967,Everton LFC,15571,Danielle Turner,16,Left Midfield,0.029061235,"c(119, 45.4, 0.1)",98bad8bd-e60f-4956-be52-0a88e568af0d,NA,NA,93,Normal,98,Off T,87,Open Play,38,Left Foot,19798,37,4,NA,NA,NA,NA,NA,94,38,119,45.4,0.1
4cb75857-8638-400b-a075-ed2eef0f2da6,1,11:17.6,11,17,28,0.760247,"c(115, 42)",NA,16,Shot,746,Manchester City WFC,7,From Goal Kick,967,Everton LFC,15556,Chantelle Boye-Hlorkah,23,Center Forward,0.814629,"c(120, 41.9, 0.6)",NA,NA,NA,91,Half Volley,97,Goal,87,Open Play,40,Right Foot,19798,37,4,TRUE,TRUE,NA,NA,NA,115,42,120,41.9,0.6
